iter	Passed	Remaining
0	62	62888
1	65	32808
2	68	22858
3	71	17784
4	74	14799
5	76	12729
6	79	11270
7	82	10225
8	85	9467
9	88	8777
10	92	8281
11	120	9948
12	129	9823
13	132	9366
14	135	8906
15	138	8512
16	142	8218
17	145	7913
18	147	7640
19	150	7380
20	154	7197
21	156	6977
22	160	6803
23	163	6641
24	166	6482
25	169	6355
26	172	6208
27	175	6103
28	178	5981
29	181	5858
30	183	5736
31	185	5625
32	188	5519
33	190	5425
34	193	5335
35	196	5258
36	199	5184
37	202	5121
38	204	5045
39	207	4984
40	210	4920
41	213	4864
42	217	4842
43	220	4786
44	223	4735
45	225	4685
46	228	4636
47	232	4615
48	235	4568
49	238	4524
50	241	4492
51	244	4453
52	247	4419
53	250	4393
54	253	4361
55	256	4324
56	259	4290
57	262	4262
58	265	4240
59	268	4210
60	271	4179
61	275	4169
62	278	4141
63	281	4114
64	284	4086
65	286	4057
66	289	4034
67	292	4008
68	295	3987
69	298	3962
70	301	3942
71	303	3915
72	306	3891
73	309	3869
74	311	3845
75	315	3831
76	317	3811
77	320	3791
78	324	3780
79	327	3763
80	331	3759
81	334	3742
82	336	3722
83	339	3705
84	342	3687
85	345	3674
86	348	3660
87	351	3640
88	353	3623
89	357	3613
90	360	3599
91	362	3581
92	365	3563
93	368	3548
94	370	3531
95	373	3514
96	376	3502
97	379	3492
98	381	3475
99	384	3460
100	387	3446
101	389	3430
102	392	3413
103	395	3403
104	398	3393
105	401	3385
106	404	3373
107	407	3367
108	410	3355
109	414	3351
110	417	3340
111	419	3329
112	423	3321
113	425	3309
114	428	3298
115	431	3287
116	434	3279
117	437	3269
118	440	3259
119	443	3251
120	446	3241
121	448	3229
122	451	3219
123	454	3209
124	456	3196
125	459	3188
126	462	3178
127	465	3169
128	467	3158
129	470	3149
130	473	3143
131	476	3136
132	479	3124
133	481	3114
134	485	3107
135	488	3101
136	490	3091
137	493	3082
138	496	3074
139	499	3069
140	502	3062
141	505	3051
142	508	3045
143	510	3036
144	513	3026
145	515	3017
146	518	3009
147	522	3005
148	525	2999
149	528	2992
150	530	2985
151	534	2980
152	537	2976
153	540	2968
154	543	2963
155	546	2954
156	549	2952
157	552	2942
158	554	2932
159	557	2928
160	561	2925
161	564	2918
162	567	2913
163	570	2907
164	573	2901
165	575	2892
166	578	2884
167	581	2877
168	583	2869
169	586	2861
170	589	2857
171	592	2850
172	595	2846
173	598	2840
174	601	2835
175	604	2831
176	607	2825
177	611	2822
178	614	2817
179	617	2812
180	620	2808
181	623	2801
182	626	2796
183	629	2793
184	632	2788
185	635	2780
186	637	2772
187	640	2767
188	643	2761
189	646	2758
190	649	2752
191	652	2745
192	655	2741
193	658	2737
194	662	2733
195	664	2727
196	667	2720
197	670	2716
198	673	2709
199	675	2703
200	678	2695
201	680	2689
202	683	2684
203	686	2678
204	689	2672
205	692	2667
206	696	2666
207	699	2664
208	702	2658
209	705	2653
210	708	2649
211	711	2643
212	713	2636
213	715	2629
214	718	2623
215	721	2619
216	724	2616
217	728	2611
218	731	2608
219	734	2602
220	737	2597
221	739	2592
222	742	2587
223	745	2582
224	748	2577
225	751	2572
226	753	2566
227	756	2562
228	759	2557
229	762	2553
230	765	2547
231	767	2540
232	770	2536
233	773	2532
234	776	2526
235	778	2521
236	781	2516
237	784	2510
238	786	2504
239	789	2500
240	792	2495
241	795	2490
242	797	2485
243	800	2479
244	802	2473
245	805	2467
246	807	2462
247	811	2459
248	813	2454
249	816	2449
250	819	2446
251	823	2443
252	825	2438
253	828	2433
254	831	2428
255	833	2423
256	836	2418
257	839	2414
258	842	2409
259	846	2407
260	848	2402
261	852	2401
262	854	2395
263	857	2390
264	860	2386
265	863	2383
266	866	2379
267	869	2374
268	871	2369
269	874	2364
270	877	2360
271	880	2355
272	882	2350
273	885	2346
274	887	2340
275	890	2336
276	893	2330
277	895	2326
278	898	2321
279	901	2317
280	903	2312
281	907	2310
282	910	2306
283	912	2301
284	915	2297
285	918	2293
286	922	2291
287	925	2287
288	927	2282
289	930	2278
290	933	2274
291	936	2269
292	939	2266
293	941	2261
294	944	2256
295	947	2252
296	950	2249
297	952	2244
298	955	2239
299	958	2235
300	961	2233
301	964	2228
302	967	2225
303	972	2225
304	975	2222
305	978	2218
306	981	2214
307	983	2210
308	987	2208
309	990	2204
310	993	2201
311	996	2197
312	999	2193
313	1002	2189
314	1005	2186
315	1008	2182
316	1011	2178
317	1013	2174
318	1016	2169
319	1018	2165
320	1021	2160
321	1024	2158
322	1027	2153
323	1029	2148
324	1032	2144
325	1034	2139
326	1039	2139
327	1042	2136
328	1046	2134
329	1049	2131
330	1052	2126
331	1056	2125
332	1060	2124
